,title,style,genres
329,XXIII   XXIII   VOLUME 3,"['Breakbeat', 'Hardcore', 'Techno']",['Electronic']
330,DayKoda   Hard Times and View Points,error,error
331,Ossia   Devils Dance,"['Dub', 'Techno', 'Ambient', 'Illbient']",['Electronic']
332,Bruce   Sonder Somatic    ,['Techno'],['Electronic']
333,V A   DAAF TRAX 2,error,error
334,Hebbe   Down Town Dub  Tumble,['Dubstep'],['Electronic']
335,Persistence of memory  ,"['Techno', 'Drum n Bass']",['Electronic']
336,hypho   round ere,['Bass Music'],['Electronic']
337,Paleman   Yrs Ago   Animus,"['Techno', 'Electro', 'House', 'Bass Music']",['Electronic']
338,"El Mini, King Doudou   El Mini   Superpussy ",error,error
339,Notte Brigante   DJ F16 FALCON   Ici Commence La Nuit,"['Dub', 'Experimental']",['Electronic']
340,Anthony Naples   Chameleon,"['Ambient', 'Downtempo', 'Chillwave']",['Electronic']
341,The Prince Stoner   Stoners Dub,"['Dub', 'Experimental']","['Electronic', 'Reggae']"
342,Jake Muir   Ladys Mantle,"['Ambient', 'Field Recording', 'Ethereal']",['Electronic']
343,O$VMV$M   O$VMV$M   Phase 4   Witch Linen,['Dub'],['Electronic']
344,Huerco S.   QTT4,"['Ambient', 'Drone', 'Experimental']",['Electronic']
345,Sikka Rymes   Seh Dem Bad,"['Dancehall', 'Experimental', 'Bassline']","['Electronic', 'Reggae']"
346,Via Maris   Glow Wall   CU2,"['Techno', 'Dubstep', 'Leftfield']",['Electronic']
347,Jarguna   Animas k    एन्हालोन,error,error
348,Batu   Marius EP,"['Techno', 'House', 'Ambient']",['Electronic']
349,King Doudou   Ms Nina   Pastillas ,error,error
350,Alberto de Cardeña   SUBSIST.47D   Voices EP,error,error
351,Various Artists   Anima respinta dal futuro Vol.1,error,error
352,YOUTH   Nuclear Winter   Heavy Rain   Y15TH,['Dubstep'],['Electronic']
353,King Doudou   Fiebre Riddim,error,error
354,Sharp tool in the shed   Land of the insane  ,"['Deep House', 'Leftfield', 'Techno', 'Ambient']",['Electronic']
355,Kid Yugi   The Globe ,error,error
356,Lamont   Detached,"['Grime', 'Dubstep']",['Electronic']
357,Cousin   Ruff Draft,"['Grime', 'Garage House']",['Electronic']
358,David Goren   Brooklyn Pirates  Neighbourhoods in the Sky  2014 2021,"['Public Broadcast', 'Lovers Rock', 'Dancehall']","['Reggae', 'Non-Music', 'Stage & Screen']"
359,Elgato   Tonight   Blue,"['House', 'Minimal', 'Breakbeat']",['Electronic']
360, Soundbwoy Killah   Halcyon Daze ,"['Breakbeat', 'Ambient', 'Hardcore', 'Techno', 'House', 'UK Garage']",['Electronic']
361,CS + Kreme   EP #1,"['Downtempo', 'Experimental']",['Electronic']
362,Jerome   Moods,"['Afro-Cuban Jazz', 'Bop']",['Jazz']
363,Rezzett   Rezzett LP,"['Techno', 'Ambient', 'Drum n Bass', 'Lo-Fi']",['Electronic']
364,Grim Lusk   Search,"['Industrial', 'Dub', 'Electro', 'Experimental', 'Hip Hop']",['Electronic']
365,Mindcut Music   Mindcut08   Myler   Dixies James EP,error,error
366,Manse   Cymbal Shudder,['Techno'],['Electronic']
367,Ebb ft. Akcept   Wild Wood,error,error
368,Significant Other   Postdrome EP,"['Broken Beat', 'Techno']",['Electronic']
369,Blade  Evil Forces EP,['Drum n Bass'],['Electronic']
370,acadjmia   Had Moments  Finished Strong,error,error
371,LCY   LCY,"['Pop Rock', 'Glam']",['Rock']
372,Giustino Kabiro   Nella Carovana,error,error
373,forest drive west set free web,,"['Rock', 'Blues', 'Pop']"
374,Ancient Caves   Filter Dread   Listen 2 Me,error,error
375,Sparse   Sparse #1,['Ambient'],['Electronic']
376, BODDIKA   Acid Jackson Basement ,"['Acid', 'Electro']",['Electronic']
377, Soundbwoy Killah   Come My Selector ,"['Breakbeat', 'Garage House']",['Electronic']
378,Jake Muir   the hum of your veiled voice,"['Ambient', 'Experimental']",['Electronic']
379,XXIII   XXIII   VOLUME 2,['Renaissance'],['Classical']
380,Biome   Griddled EP,error,error
381,forest drive west   apparitions ,"['Techno', 'Electro', 'Ambient']",['Electronic']
382,Lil Durk   Im Still a Hitta,"['Trap', 'Drill']",['Hip Hop']
383,Rakim   The Master,['Conscious'],['Hip Hop']
384,Debmaster   1av2,"['Juke', 'Bass Music', 'Hip Hop', 'Instrumental']","['Electronic', 'Hip Hop']"
385,King Doudou   Alarma,error,error
386,Hodge   Amor Fati    Tilikum ,['Techno'],['Electronic']
387,Paleman   Beezeldub,['House'],['Electronic']
388,Bambounou x Bruce   Final Conference,"['Experimental', 'Techno']",['Electronic']
389,XXIII   XXIII   VOLUME 5,"['Psy-Trance', 'Progressive Trance']",['Electronic']
390, People Plus   Olympus Mons EP ,"['Techno', 'Abstract']",['Electronic']
391, Nick Klein   Rhinestone Cowboy,"['Techno', 'Industrial', 'Experimental']",['Electronic']
392,Yung Beef   Perreo de la Muerte 2 ,"['Trap', 'Reggaeton']","['Hip Hop', 'Latin']"
393,Basic Rhythm   2 Da Core,"['Juke', 'Jungle']",['Electronic']
394,Otik   Wetlands,['Techno'],['Electronic']
395,King Doudou   DANAO,error,error
396,O. G. JIGG   FRIENDS   Originals Remixes,error,error
397,Weeshuis Der Verloren Zielen EP,"['Techno', 'Acid']",['Electronic']
398,Rosso Polare   Bocca Dombra,"['Experimental', 'Ambient', 'Leftfield', 'Avant-garde Jazz']","['Electronic', 'Jazz', 'Folk, World, & Country']"
399,Hodge   HEK025 ,['Techno'],['Electronic']
400,Never mind   Short stay  ,"['Dubstep', 'Grime']",['Electronic']
401,Pluralist   CJAW013  Pluralist,error,error
402,Luca Lozano   Gun Fingers ,"['Techno', 'House']",['Electronic']
403,Nikolajev   LEL EP,"['Ambient', 'Darkwave']",['Electronic']
404,Laksa   Sen On One,"['Techno', 'Dubstep', 'Dancehall']",['Electronic']
405,xxoy.   Hip Hop Tuga Edits   Vol. 2,error,error
406,Russian Tsarlag   Secret Boyfriend   Split,error,error
407,Yao Bobby   Simon Grab   Black Revolution,"['Experimental', 'Conscious']","['Electronic', 'Hip Hop']"
408,Coco Bryce   Tommy The Cat   Coco   The Cat Return ,['Jungle'],['Electronic']
409,Loefah   Ruffage,['Dubstep'],['Electronic']
410,Peverelist   Undulate   Grit,['Techno'],['Electronic']
411,PEDRO   Na Quebrada ,['Bass Music'],"['Electronic', 'Folk, World, & Country']"
412,STILL   Haile Selassie Is The Micro Chip ,"['Experimental', 'Dub', 'Dancehall']","['Electronic', 'Reggae']"
413,Tessela   Lanark Artefax   Blue 01,"['Techno', 'Electro', 'Broken Beat']",['Electronic']
414,Loefah   The Goat Stare,['Dubstep'],['Electronic']
415,Various Artists   Inverted Echoes,error,error
416,Reflec   BHM,"['Techno', 'Breakbeat']",['Electronic']
417,Branko + PEDRO   MPTS,['Bass Music'],['Electronic']
418,Huerco S.   Plonk,"['Experimental', 'Ambient', 'Abstract', 'IDM']",['Electronic']
419,Pearson Sound   Starburst EP,"['Techno', 'Grime']",['Electronic']
420,PEDRO   DL,"['Ballad', 'Disco']","['Latin', 'Pop']"
421,Treega   Trasher EP,error,error
422,Wilted Woman   Songs in the Key of Wilt,"['Alternative Rock', 'Berlin-School', 'Leftfield', 'Techno']","['Electronic', 'Rock']"
423,forest drive west jungle crack ep,"['Drum n Bass', 'Jungle']",['Electronic']
424,Ascot ww   Welcome To The Wicked Land,"['Breakbeat', 'Electro']",['Electronic']
425,Drax   The 3rd Decade,"['Techno', 'Acid']",['Electronic']
426,"Le Dom, Cabo Snoop, King Doudou   Le Dom ft. Cabo Snoop   Final Windeck ",error,error
427,Parris   Puro Rosaceae EP,error,error
428,Madteo   Str8 Crooked,"['Ghetto House', 'House']",['Electronic']
429,Aleksa Alaska  Chlorys   NMX002  Paranormal Mixtape,"['Abstract', 'Neo Trance']",['Electronic']
430,King Doudou   King Doudou Edits Vol. 3,error,error
431,Equohm   Morning Mixtape vol.2  w  Equohm,error,error
432,Fabio Fabio   Masochistas EP ,['Electro'],['Electronic']
433,Addison Groove   FREE DL   FOOTCRAB VIP REMASTER,error,error
434,Luca Lozano x Dawl   Cybernetik Synergy EP,error,error
435,UVB76   IWA GAADEN,['Experimental'],['Electronic']
436,Kaval   TRIBY BALAD,error,error
437,BKV Cadavre   VOM   Fire In The Mind,"['Experimental', 'Dub']","['Electronic', 'Rock']"
438,Marcangelo Malapianta   Cover DAmore,error,error
439,Caski   Structures,"['UK Garage', 'Techno']",['Electronic']
440,Mars89   Lucid Dream EP,"['Experimental', 'Dancehall']","['Electronic', 'Reggae']"
441,Krush Lumpkin   Rilascio,"['Leftfield', 'Footwork']",['Electronic']
442,Low Jack   Les Riddims du Lieu dit,"['Dancehall', 'Industrial', 'Breakbeat']","['Electronic', 'Reggae']"
443,Tammo Hesselink   It Is Easy To See,['Techno'],['Electronic']
444,Logic1000   LOGIC1000,"['Dubstep', 'House']",['Electronic']
445,Seven Sisters   Pursuit Ep,"['Abstract', 'Ambient', 'Deep Techno', 'Noise', 'IDM']",['Electronic']
446,xxoy   xxoy   Wonderland,error,error
447,Dori Sorride   A Catturare I Raggi,"['Hyperpop', 'Leftfield']","['Electronic', 'Pop']"
448,a rocket in dub   normal dub,"['Dub', 'Dub Techno', 'IDM']",['Electronic']
449,Christos Chondropoulos   Oaks,"['Experimental', 'Éntekhno', 'African', 'Big Beat']","['Electronic', 'Folk, World, & Country']"
450,John T. Gast   SINEAD MEMORY TAPE ,"['Ambient', 'Experimental', 'Drone']",['Electronic']
451,Beneath   Numbers Talk EP,"['Dub', 'Dub Techno']",['Electronic']
452,Massacooramaan   Dancehall Princess,['Ghetto'],['Electronic']
453,Mall Grab   How The Dogs Chill  Vol.1,"['House', 'Leftfield', 'Breaks', 'Deep House']",['Electronic']
454,Tessela   Hackney Parrot   Helter Skelter,"['Bass Music', 'Jungle']",['Electronic']
455,Randomer   HEK021   Randomer   Bring   Curtains,['Techno'],['Electronic']
456,Dib Discs   DJ D3X 357   BRAIN NOIZE EP,error,error
457,Anatolian Weapons   Anatolian Weapons   Immersion,error,error
458,Bakongo   Thirteen Level Cowbell,"['Bass Music', 'Tribal']",['Electronic']
459,Various Artists   Music For Balconies 2,['Indie Rock'],"['Electronic', 'Rock']"
460,Ninja Exotic Machine Ft. Yeho   36 Questions,error,error
461,SAINT ABDULLAH   IN GODS IMAGE,"['Abstract', 'Dub', 'Industrial', 'Illbient', 'Future Jazz']","['Electronic', 'Non-Music', 'Folk, World, & Country']"
462,Batu   Bleeper Feed   April These,['Techno'],['Electronic']
463,Jake Muir   ITLP10   Mana,"['Illbient', 'Ambient', 'Abstract']",['Electronic']
464,Duma   Duma,"['Breakcore', 'Industrial', 'Noise', 'Grindcore']","['Electronic', 'Rock']"
465,Kahn      Dread + Dubkasm Versions ,"['Dub', 'Dubstep']",['Electronic']
466,OSS001 Masters,"['Hip Hop', 'Garage House', 'House']","['Electronic', 'Hip Hop']"
467,KELMAN DURAN   1804 KIDS,"['Experimental', 'Reggaeton']","['Electronic', 'Latin']"
468,Florian T M Zeisig   You Look So Serious,['Ambient'],['Electronic']
469,Pawels Bar   Pawels Bar   Cantina,"['Dub', 'Downtempo', 'Leftfield', 'Future Jazz']",['Electronic']
470,Bruce   Im Alright Mate   Post Rave Wrestle,"['Techno', 'Abstract']",['Electronic']
471,Dentis   The Pintupi Nine EP,"['Industrial', 'Techno']",['Electronic']
472,Laksa   The Amala Trick   In The Middle,"['Abstract', 'Experimental', 'Techno']",['Electronic']
473,Bokeh Allstars   Mutual Aid 2020,"['Dub', 'Illbient']","['Electronic', 'Hip Hop', 'Reggae']"
474,GUNDAM   DARKSIDE DUB,['Grime'],['Electronic']
475,Objekt   Objekt #4,"['House', 'Breaks', 'Techno']",['Electronic']
476,Brooke Candy   Dimen5ión,error,error
477,Loefah   woman,['Dubstep'],['Electronic']
478,dentis   Gulag,error,error
479,BABE ROOTS   MUSIC MISSION EP,"['Latin', 'Hi NRG', 'Italo-Disco', 'Pop Rap', 'Disco', 'Techno', 'Euro House', 'House', 'Electro', 'Synth-pop', 'Funk']","['Electronic', 'Hip Hop', 'Funk / Soul']"
480,Loefah   Ginnocchio,['Dubstep'],['Electronic']
481,Chaperone   Jazz From the Shelter,"['New Age', 'Techno', 'Hip Hop', 'Dub']","['Electronic', 'Hip Hop', 'Non-Music']"
482,Jonah Dan   Galactic Light,['Dub'],"['Electronic', 'Reggae']"
483,Oyl   Urm,"['Experimental', 'Abstract', 'Techno', 'Sound Collage']",['Electronic']
484,dentis   Music for the Masses EP,"['Techno', 'Industrial']",['Electronic']
485,Sondáil   Polydial,error,error
486,Forest Drive West   System   Show Them,['Techno'],['Electronic']
487,YOUTH   Katatonic Silentio   Pow Snake,"['Abstract', 'Breaks', 'Experimental', 'Ambient', 'Leftfield', 'Illbient', 'Grime']",['Electronic']
488,dstrtdvsn   73 Explore your mind ,error,error
489,E Talking   Laksa   Blue 04,"['Techno', 'Breaks']",['Electronic']
490,Cabasa   Defective,"['Breaks', 'House', 'Ambient']",['Electronic']
491,King Doudou   King Doudou   Futsal Mega Mix,error,error
492,Bambounou   Hale,['Techno'],['Electronic']
493,KRIKOR   CÉFRAN RIDDIMS  001,error,error
494,Cassius Select   Hype Hour,['House'],['Electronic']
495,PML BEATZ   Pedra de 800 Kg,['Kuduro'],"['Electronic', 'Folk, World, & Country']"
496,Angel Rocket   AM003,['Techno'],['Electronic']
497,King Doudou   Future   Mask Off ,error,error
498,SECRET BOYFRIEND   Memory Care Unit,"['Ambient', 'Drone', 'Dark Ambient']",['Electronic']
499,Silas   Snare   PRESSURE,['Bass Music'],"['Electronic', 'Hip Hop']"
500,Kashual Plastik   Laure Boer   Agate et la pierre de Sable,"['Experimental', 'Noise', 'Neofolk', 'Electroacoustic']","['Electronic', 'Folk, World, & Country']"
501,Cassius Select   Slang,['Dubstep'],['Electronic']
502,Cabasa   Mail Sent EP,"['Breaks', 'Techno', 'Ambient']",['Electronic']
503,Headless Horseman   Headless Horseman 007,"['Techno', 'Industrial']",['Electronic']
504,Kinlaw   Franco Franco   WAVE LED,error,error
505,SKREAM   Unreleased Classics Vol.1 2003   2003,['Dubstep'],['Electronic']
506,Avon Terror Corps   Wisecrack   Flesh,"['Industrial', 'Experimental', 'Noise', 'Rhythmic Noise', 'Techno', 'Darkwave']",['Electronic']
507,Ruutu Poiss   Demosoup,['Leftfield'],['Electronic']
508,NOT399093   MALTA ORLATA,error,error
509,Kreggo   New Age EP  digital exclusive,error,error
510,SSIEGE   Firenze Pad   Uomo Luce,"['Ambient', 'Abstract']",['Electronic']
511,The Dengie Hundred   Tube ,"['Ambient', 'Experimental']",['Electronic']
512,Eterno Ritorno   TP010  Eterno Ritorno,"['Punk', 'Hardcore']",['Rock']
513,Ploy   Ploy   The Edits DIGITAL,error,error
514,"HUGODADA   Santa Clara   Live at Nerolidio, Como, 9 4 22",error,error
515,Various   Substance   Shamas Natire,error,error
516,Joy Orbison   Off Season   Fuerza  HINF8679,"['Techno', 'Breaks']",['Electronic']
517,Space Drum Meditation   Space Drum Meditation   SDM004,"['Tribal', 'Techno']",['Electronic']
518,John T. Gast   DRINK BEFORE THE WAR  ,error,error
519,At One   Rainfall In Dub,['Synth-pop'],['Electronic']
520,Compa   Take Control,"['Dubstep', 'Grime']",['Electronic']
521,Pugilist   Cha,['Dubstep'],['Electronic']
522,DJ Normal 4   BFDM009   MENTAL COMMAND TERROR,"['Breakbeat', 'Trance', 'Tribal']",['Electronic']
523,Danish Dream   After Sauna EP,error,error
524,Twins   Nothing Left,"['Synth-pop', 'New Wave', 'New Beat', 'House', 'Acid', 'Industrial']",['Electronic']
525,Perc   Before I Go,['Techno'],['Electronic']
526,DJ NERVOSO   DJ Nervoso,"['House', 'Techno', 'Kuduro']","['Electronic', 'Folk, World, & Country']"
527,Intel Mercenary   Wilted Woman   IMWW,"['Experimental', 'Ambient', 'Techno']",['Electronic']
528,Sebastiano Carghini   tpeso,"['Abstract', 'Experimental']",['Electronic']
529,Rorschac   Lolophophora,"['Abstract', 'Field Recording', 'Neo-Classical']","['Electronic', 'Stage & Screen']"
530,Various Artists   Habibi Funk 014  Solidarity With Beirut,error,error
531,Ansome   Penny   Pound EP,['Techno'],['Electronic']
532,Isle   Losing Phase,error,error
533,John T. Gast   KINGS X   EXTENDED MIX,"['Dub', 'Techno']","['Electronic', 'Reggae']"
534,Pangaea   You Know Whats Up,"['Techno', 'House']",['Electronic']
535,Delroy Edwards   4 Club Use Only ,"['House', 'Techno']",['Electronic']
536,Gesloten Cirkel   M 011,"['Acid House', 'Techno', 'Electro']",['Electronic']
537,Perc   My Head Is Slowly Exploding,['Techno'],['Electronic']
538,Neinzer   Deff,"['Techno', 'Abstract', 'Breakbeat', 'Ambient']",['Electronic']
539,King Doudou   Cachetona,"['Breaks', 'Experimental', 'Breakcore', 'Ragga HipHop']","['Electronic', 'Hip Hop']"
540,Job Sifre   Het Bestaan,"['EBM', 'Electro', 'New Wave']",['Electronic']
541,The saturnian system   The sequel  ,"['Electro', 'Acid', 'Techno']",['Electronic']
542,Ninja Exotic Machine   Wokatikitanku Ep,"['Tribal', 'Downtempo', 'Tribal House', 'Broken Beat']",['Electronic']
543,Breaka   004   Rorys Theme   Puffer Jackets,"['Bass Music', 'Deep House', 'Breaks']",['Electronic']
544,Tropicantesimo   Tropicantesimo Session 1,"['Ambient', 'Dub', 'Tropical House', 'Synth-pop']","['Electronic', 'Funk / Soul']"
545,Overmono   Diamond Cut   Bby,"['UK Garage', 'Breakbeat']",['Electronic']
546,Space Afrika   hybtwibt,"['Abstract', 'Experimental', 'Ambient', 'Dub', 'Leftfield']",['Electronic']
547,Greg Beato   When Monkeys Attack  ,"['House', 'Techno']",['Electronic']
548,Jay Daniel   2013   Scorpio Rising EP,"['House', 'Deep House']",['Electronic']
549,King Doudou   Novinha   Tremendo Bumbum,"['Reggaeton', 'Trap', 'Industrial']","['Electronic', 'Hip Hop', 'Latin']"
550,Donato Dozzy   The Tao,"['Drum n Bass', 'Techno', 'Experimental']",['Electronic']
551,Human Resources   BAM001,"['Breakbeat', 'Bassline', 'Techno', 'Electro']",['Electronic']
552,JLZ   BADSISTA   BABYLON ,error,error
553,Beau Wanzer   Kitchen Clock,"['Industrial', 'Techno']",['Electronic']
554,Big Hands   Baroque Sunburst EP  BSUN001,"['Leftfield', 'Electro', 'Dub Techno', 'IDM']",['Electronic']
555,Loefah   Coki   Disco Rekah   All of a Sudden,['Dubstep'],['Electronic']
556,Nah Eeto   Sumgii   Wanawake,"['Hip Hop', 'Bass Music']","['Electronic', 'Hip Hop']"
557,Dumb Hummer All The Time ,"['Techno', 'Leftfield']",['Electronic']
558,SONS OF TRADERS   Crollo Nervoso LP  BLF1C007,error,error
559,"Khaled, Trapani, King Doudou   Khaled ft. Trapani   Mea Culpa ",error,error
560,Junior Loves   2020   Yantlet   Grain,['Dub'],"['Electronic', 'Reggae']"
561,Luca Lozano   Inner Peace EP,"['House', 'Breakbeat', 'Downtempo', 'Deep House', 'Bleep']",['Electronic']
562,Lava Dome   MAGMA,"['Post Rock', 'Experimental']",['Rock']
563,Space Drum Meditation   SDM003,"['Tribal', 'Experimental', 'Techno']",['Electronic']
564, Forest Drive West   static   escape,['Techno'],['Electronic']
565,Luca Lozano   Summer Of Love EP,['House'],['Electronic']
566,I iii   Dolce  Bun So Nude ,"['House', 'Techno']",['Electronic']
567,Qant   Transgressive ,"['Drum n Bass', 'Jungle']",['Electronic']
568,O$VMV$M   Manonmars   In Colour Instrumentals,"['Ambient', 'Bass Music', 'Trip Hop', 'Screw', 'Instrumental', 'Illbient']","['Electronic', 'Hip Hop']"
569,Tafi All Stars   Outside Rhythm,"['African', 'Dub']","['Electronic', 'Reggae', 'Funk / Soul', 'Folk, World, & Country']"
570,Whitney K   Two Years,"['Folk Rock', 'Country Rock', 'Post-Punk']","['Rock', 'Folk, World, & Country']"
571,Laughter of Saints   Kekuasaan,"['Avantgarde', 'Experimental']","['Electronic', 'Rock', 'Folk, World, & Country']"
572,Bass   Anaconda Legs,error,error
573,Low Jack   Jingles du Lieu dit,"['Dancehall', 'Industrial', 'Breakbeat']","['Electronic', 'Reggae']"
574,King Doudou   SURRENDER,['Dancehall'],"['Electronic', 'Reggae']"
575,Kreggo   Immaginario EP  digital exclusive,error,error
576,Pangaea   Bone Sucka ,"['Breakbeat', 'Techno']",['Electronic']
577,Slacker   Damage To Be Undone,"['Techno', 'Ambient', 'Jungle']",['Electronic']
578,King Doudou   King Doudou Edits Vol.2,error,error
579,Osémio Boémio   Osémio Boémio   NO TIME 4 BAD DAYS EP,error,error
580,Pearson Sound   Thaw Cycle,['House'],['Electronic']
581,Atoloi   Papier dArmenie,"['Techno', 'Ambient', 'Experimental']",['Electronic']
582,Notte Brigante   Stranger Than Dub EP,"['Industrial', 'Dub', 'Experimental']",['Electronic']
583,Batu   Murmur,['Techno'],['Electronic']
584,DJ JM   Cosa Nostra,"['Techno', 'Tribal']",['Electronic']
585,SlugDown   Sun Box,error,error
586,Lambratech   STAY FAST VOL. 1,error,error
587,Hodge   No Single Thing,"['Techno', 'Tribal']",['Electronic']
588,TMSV   Jungle  Vol. 3,"['Jungle', 'Drum n Bass']",['Electronic']
589,Sikka Rymes   Love Di People EP,"['Dancehall', 'Experimental', 'Bassline']","['Electronic', 'Reggae']"
590,Madteo   Sensational   Special Offer,"['Leftfield', 'Hip Hop', 'Disco']","['Electronic', 'Hip Hop']"
591,Metal Preyers   Peppa,['Experimental'],['Electronic']
592,Ele Dane   nature shaft,error,error
593,Various   The Architects   Volume One,['Dubstep'],['Electronic']
594,Pearson Sound   Rubble ,['Techno'],['Electronic']
595,Beneath   Seeus ,"['Tribal', 'Techno']",['Electronic']
596,Lamont   Aldgate Pump,error,error
597,Lo Kindre   Chlorophytum,"['Experimental', 'Dub', 'Leftfield', 'Drone']",['Electronic']
598,Forest Drive West   Dualism ep  ,"['Dub Techno', 'Techno']",['Electronic']
599, J Kenzo   Ruffhouse VIP ,['Dubstep'],['Electronic']
600,Kinlaw   Franco Franco   Crocs on the Plough,"['Post-Punk', 'Industrial', 'Experimental', 'Dub']","['Electronic', 'Rock']"
601,EGOLESS   Solidarity in Dub,['Dub'],"['Electronic', 'Reggae']"
602,Pugilist   Pugilist   Another Channel   Fight Authority   Seek Truth,['Dub'],['Electronic']
603,Blade   Outlook EP ,"['Drum n Bass', 'Jungle']",['Electronic']
604,Argo Nooo ARTKL024 WEB 2016 MKD,error,error
605, DPRTNDRP   What Ya Mean ,['Dubstep'],['Electronic']
606,Forest Drive West   Blue 05  ,"['Experimental', 'Techno']",['Electronic']
607,Fredo Santana   Fredo Kruger 2,['Trap'],['Hip Hop']
608,Anthony Naples   Fog FM ,"['Techno', 'Tech House', 'House', 'Ambient', 'Deep House']",['Electronic']
609,DJ Brittle   Aleatoric Sampling System Vol. 1,['Plunderphonics'],['Electronic']
610,Loefah   Natural Charge Crack Bong Rmx,['Dubstep'],['Electronic']
611,Mikey General   Only Jah Know,['Roots Reggae'],['Reggae']
612,ᕦᕤ   High School Blues,error,error
613,Alex Coulton   Recall Wiretap,"['Dubstep', 'Experimental']",['Electronic']
614, J Kenzo   Shark Eye   Asutoraru,['Dubstep'],['Electronic']
615,RSD   Jah Way   Speeka Box ,['Dubstep'],['Electronic']
616,Quartz   Alchemy Burn ,['Dubstep'],['Electronic']
617,TMSV   Jungle  Vol. 2,"['Jungle', 'Drum n Bass']",['Electronic']
618, dub across borders   black lake lack blake,"['Jungle', 'Dub', 'Roots Reggae']","['Electronic', 'Reggae']"
619,TMSV   Jungle  Vol. 1,"['Drum n Bass', 'Jungle']",['Electronic']
620,Luca Lozano + Mr. Ho   Visions of Rhythm 2,"['Deep House', 'House', 'Breakbeat', 'Downtempo']",['Electronic']
621,Forest Drive West   Terminus ep  ,"['Techno', 'Drum n Bass']",['Electronic']
622,Catene   CXT001   MASTERS DEF,error,error
623,Ploy   Intrigued By The Drum  ,"['Tribal', 'Techno']",['Electronic']
624,XIII   Permanent Rain,"['Ethereal', 'Neofolk', 'Dub', 'Ambient']","['Electronic', 'Folk, World, & Country']"
625,Equation ep ,['House'],['Electronic']
626,Filter Dread   Space Beams EP,"['Breakbeat', 'Drum n Bass', 'Grime']",['Electronic']
627,Odd Person   Myths of the Crystal Plateau,"['Tribal', 'New Age', 'Experimental']","['Electronic', 'Folk, World, & Country']"
628,Chaos in the CBD   Orange Blank Green Dove,"['House', 'Balearic', 'Acid House']",['Electronic']
629,memotone   How Was Your Life,"['Balearic', 'Ambient', 'Experimental', 'Neofolk', 'Neopagan']","['Electronic', 'Folk, World, & Country']"
630,Alex Coulton   Bleep Sequence   Tension,"['Bass Music', 'Techno', 'House', 'UK Garage']",['Electronic']
631,Big Hands   Ossario ,"['Techno', 'Deep Techno', 'Leftfield']",['Electronic']
632,Giggs   Big Bad ,,['Hip Hop']
633,Loop LF   Natural XT,"['Minimal Techno', 'Glitch', 'Drum n Bass', 'Leftfield']",['Electronic']
634,boli group   boli group   The Jutlandia Quartets,"['Modern Classical', 'Experimental']",['Electronic']
635,Dj Metatron   Loops of Infinity ,"['Ambient', 'Breakbeat', 'Breaks', 'Techno', 'Neo Trance', 'Trance']",['Electronic']
636,Loop LF   Stepping Back EP  ,"['Broken Beat', 'House', 'Techno']",['Electronic']
637,Notte Brigante   NB03t   Simplists   Over SImplifies Reality Lp,error,error
638,Loop LF   Drifting Forwards,"['Dub Techno', 'Techno', 'Breakbeat', 'Experimental']",['Electronic']
639,ArtSaves   Home Is Where the Hatred Is,error,error
640,Cop Envy   Total End ,['Techno'],['Electronic']
641,Abu AMA   INTERNATiONAL ROKKAZ,error,error
642,downstairs J   basement  etc,"['Trip Hop', 'Downtempo', 'Acid House']",['Electronic']
643,Sindrome   LAURA,"['Techno', 'Electro', 'Experimental']",['Electronic']
644,Iris   The Green Domain,,['Pop']
645,Dj Psychiatre   Never Complain ,"['Deep House', 'House']",['Electronic']
646, Gesloten Cirkel   Gesloten Cirkel,"['House', 'Electro', 'Acid', 'Techno']",['Electronic']
647,James Blake   If The Car Beside You Moves Ahead,"['Experimental', 'Glitch']",['Electronic']
648,Squito Babe   Palombaro ,error,error
649,RSD Corner Dub    Pretty Bright Light ,['Dubstep'],['Electronic']
650,Minor Science   Whities 008  ,['Techno'],['Electronic']
651, Dj Jubilee   Eternal Dark ,['Jungle'],['Electronic']
652,Only Now   Only Now Presents  Indian Unclassical Vol. 1,error,error
